Rank,Name,Lifetime
1,The Notorious B.I.G.,"May 21, 1972 – March 9, 1997"
2,Jay-Z,"December 4, 1969 – present"
3,Eminem,"October 17, 1972 – present"
4,Rakim,"January 28, 1968 – present"
5,Nas,"September 14, 1973 – present"
6,André 3000,"May 27, 1975 – present"
7,Lauryn Hill,"May 26, 1975 – present"
8,Ghostface Killah,"May 9, 1970 – present"
9,Kendrick Lamar,"June 17, 1987 – present"
10,Lil Wayne,"September 27, 1982 – present"
