Rank,Name,Lifetime
1,Jay-Z,"December 4, 1969 – present"
2,Kendrick Lamar,"June 17, 1987 – present"
3,Nas,"September 14, 1973 – present"
4,Tupac Shakur,"June 16, 1971 – September 13, 1996"
5,Eminem,"October 17, 1972 – present"
6,The Notorious B.I.G.,"May 21, 1972 – March 9, 1997"
7,Lil Wayne,"September 27, 1982 – present"
8,Drake,"October 24, 1986 – present"
9,Snoop Dogg,"October 20, 1971 – present"
10,Nicki Minaj,"December 8, 1982 – present"
